Median age,Median age - Male,Median age - Female,id
26.4,46.3,25.9,1500000US261635347003
40.7,38.9,50.5,1500000US261635347004
29.4,26.3,33.8,1500000US261635350001
45.2,13.5,51.5,1500000US261635350002
34.2,42.5,33.8,1500000US261635350003
36.2,41.1,36.2,1500000US261635351001
34.3,35.8,33.8,1500000US261635351002
48.3,42.2,52.9,1500000US261635352001
49.5,54.8,49.1,1500000US261635352002
23.6,14.5,30.8,1500000US261635352003
49.7,24.8,52.5,1500000US261635352004
30.3,26.6,36.6,1500000US261635353001
28.5,17.8,28.9,1500000US261635353002
38.4,31.4,66.3,1500000US261635353003
27.5,27.6,27.4,1500000US261635353004
34,32.5,35.6,1500000US261635353005
34,30.9,42.4,1500000US261635354001
42.6,40.6,45.7,1500000US261635354002
33.1,32.7,33.4,1500000US261635355001
29.8,24,51.6,1500000US261635355002
27.5,27.9,26.8,1500000US261635355003
30.3,15.8,33.8,1500000US261635356001
48.2,28,55.4,1500000US261635356002
39,18.5,40.7,1500000US261635356003
40.7,49.8,35.6,1500000US261635356004
27.8,17.3,35.1,1500000US261635357001
52,52.3,49.1,1500000US261635357002
31.7,32.5,31.4,1500000US261635361001
26.2,14.5,40.2,1500000US261635361002
46.1,35.7,50.9,1500000US261635361003
50.3,11.9,52.7,1500000US261635361004
34.4,25.6,43.7,1500000US261635362001
28,26.4,36.2,1500000US261635362002
42.3,47.8,24.9,1500000US261635363001
48.6,24.7,50.4,1500000US261635363002
22.4,13.9,42,1500000US261635363003
25.9,15.9,32.3,1500000US261635363004
42.3,42.4,40.8,1500000US261635363005
36.4,36.1,50.4,1500000US261635363006
54.6,55,54.6,1500000US261635364001
36.8,15,47.3,1500000US261635364002
32.9,32.4,45.6,1500000US261635364003
32.6,39.6,26.9,1500000US261635364004
39.1,39,39.1,1500000US261635365001
46.5,48.6,43.5,1500000US261635365002
51.1,34.7,52.6,1500000US261635365003
33.3,27.7,47,1500000US261635365004
53.2,47.1,54.1,1500000US261635366001
38.4,45.8,31.5,1500000US261635366002
43,52.3,42.2,1500000US261635366003
30.2,23.3,50.1,1500000US261635366004
48.6,59.9,34.9,1500000US261635366005
45.2,41.4,49.3,1500000US261635367001
58.9,59.7,54.2,1500000US261635367002
27.9,28.8,23.8,1500000US261635368001
42.8,46.1,37.8,1500000US261635368002
18.1,16.4,19.6,1500000US261635369001
28.1,28.1,29,1500000US261635369002
36.9,37,36.9,1500000US261635369003
63.7,63.4,64.8,1500000US261635369004
33.3,35.1,33.2,1500000US261635370001
46.7,46.4,52.5,1500000US261635370002
38.5,42.3,38.2,1500000US261635370003
53.3,28.6,63.1,1500000US261635371001
25.9,20.1,52,1500000US261635371002
25.1,20.5,30,1500000US261635371003
40.6,33.5,42.4,1500000US261635372001
42.3,23.5,52.3,1500000US261635372002
47.8,35.4,54.6,1500000US261635373001
37.1,21.6,40.3,1500000US261635373002
38.4,35.4,50.3,1500000US261635373003
52.5,35.8,58.3,1500000US261635373004
19.5,12.6,21.9,1500000US261635375001
36.9,36.2,45.8,1500000US261635375002
48,50.6,33.9,1500000US261635375003
52.2,54.2,51.8,1500000US261635375004
23.3,15,24.4,1500000US261635375005
27,26.4,39.8,1500000US261635376001
36.2,31.7,42.7,1500000US261635376002
32.9,26,35.8,1500000US261635376003
