Total:,Not Hispanic or Latino,Hispanic or Latino,GEO_ID
100,100,0,1500000US261635333001
923,923,0,1500000US261635333002
439,439,0,1500000US261635334001
546,546,0,1500000US261635334002
162,162,0,1500000US261635334003
748,748,0,1500000US261635334004
276,276,0,1500000US261635334005
530,530,0,1500000US261635335001
665,665,0,1500000US261635335002
403,403,0,1500000US261635336001
438,438,0,1500000US261635336002
833,833,0,1500000US261635336003
709,662,47,1500000US261635337001
190,190,0,1500000US261635337002
1087,1029,58,1500000US261635339001
410,410,0,1500000US261635339002
1302,1271,31,1500000US261635339003
338,338,0,1500000US261635341001
533,533,0,1500000US261635341002
719,719,0,1500000US261635341003
883,883,0,1500000US261635342001
405,405,0,1500000US261635342002
775,730,45,1500000US261635342003
241,241,0,1500000US261635342004
1094,1094,0,1500000US261635342005
598,582,16,1500000US261635343001
879,790,89,1500000US261635343002
820,816,4,1500000US261635344001
898,858,40,1500000US261635344002
355,355,0,1500000US261635345001
328,328,0,1500000US261635345002
524,524,0,1500000US261635346001
329,304,25,1500000US261635346002
981,547,434,1500000US261635346003
793,793,0,1500000US261635347001
1117,1117,0,1500000US261635347002
529,529,0,1500000US261635347003
984,984,0,1500000US261635347004
668,668,0,1500000US261635350001
788,663,125,1500000US261635350002
1285,1285,0,1500000US261635350003
543,543,0,1500000US261635351001
1194,1188,6,1500000US261635351002
566,566,0,1500000US261635352001
158,158,0,1500000US261635352002
715,715,0,1500000US261635352003
609,609,0,1500000US261635352004
820,820,0,1500000US261635353001
717,717,0,1500000US261635353002
326,326,0,1500000US261635353003
1194,1194,0,1500000US261635353004
1138,1138,0,1500000US261635353005
859,853,6,1500000US261635354001
576,462,114,1500000US261635354002
1241,1241,0,1500000US261635355001
961,821,140,1500000US261635355002
1198,1016,182,1500000US261635355003
1920,1920,0,1500000US261635356001
739,739,0,1500000US261635356002
645,645,0,1500000US261635356003
1059,1059,0,1500000US261635356004
612,548,64,1500000US261635357001
510,510,0,1500000US261635357002
1036,1036,0,1500000US261635361001
891,891,0,1500000US261635361002
985,980,5,1500000US261635361003
488,488,0,1500000US261635361004
756,756,0,1500000US261635362001
1559,1559,0,1500000US261635362002
385,385,0,1500000US261635363001
281,281,0,1500000US261635363002
814,809,5,1500000US261635363003
584,584,0,1500000US261635363004
217,217,0,1500000US261635363005
464,464,0,1500000US261635363006
132,132,0,1500000US261635364001
560,560,0,1500000US261635364002
590,590,0,1500000US261635364003
992,992,0,1500000US261635364004
563,563,0,1500000US261635365001
397,377,20,1500000US261635365002
522,522,0,1500000US261635365003
856,856,0,1500000US261635365004
296,284,12,1500000US261635366001
643,643,0,1500000US261635366002
462,462,0,1500000US261635366003
689,676,13,1500000US261635366004
393,393,0,1500000US261635366005
462,462,0,1500000US261635367001
494,494,0,1500000US261635367002
1043,1024,19,1500000US261635368001
760,760,0,1500000US261635368002
643,643,0,1500000US261635369001
900,900,0,1500000US261635369002
1481,1357,124,1500000US261635369003
211,211,0,1500000US261635369004
1352,1352,0,1500000US261635370001
785,785,0,1500000US261635370002
1262,1252,10,1500000US261635370003
239,239,0,1500000US261635371001
618,618,0,1500000US261635371002
1418,1379,39,1500000US261635371003
247,247,0,1500000US261635372001
345,345,0,1500000US261635372002
585,585,0,1500000US261635373001
335,335,0,1500000US261635373002
552,551,1,1500000US261635373003
255,255,0,1500000US261635373004
514,514,0,1500000US261635375001
613,613,0,1500000US261635375002
479,479,0,1500000US261635375003
847,815,32,1500000US261635375004
611,611,0,1500000US261635375005
767,682,85,1500000US261635376001
505,505,0,1500000US261635376002
2383,2383,0,1500000US261635376003
1302,1302,0,1500000US261635377001
747,747,0,1500000US261635377002
1034,1034,0,1500000US261635377003
372,372,0,1500000US261635378001
766,766,0,1500000US261635378002
308,308,0,1500000US261635378003
1028,1018,10,1500000US261635381001
1301,1277,24,1500000US261635381002
1111,1111,0,1500000US261635382001
1103,1038,65,1500000US261635382002
1131,1131,0,1500000US261635383001
998,974,24,1500000US261635383002
1019,1008,11,1500000US261635384001
1030,1014,16,1500000US261635384002
1057,1047,10,1500000US261635384003
1329,1252,77,1500000US261635384004
340,340,0,1500000US261635385001
397,397,0,1500000US261635385002
632,632,0,1500000US261635385003
256,256,0,1500000US261635385004
459,441,18,1500000US261635385005
709,693,16,1500000US261635385006
